,Start,End,Ignored
0,586.6666666666666,666.6666666666666,1
1,890.0,990.0,4
2,1250.0,1373.3333333333333,3
3,1556.6666666666667,1646.6666666666667,2
4,1796.6666666666667,1883.3333333333333,1
5,2166.6666666666665,2283.3333333333335,4
6,2573.3333333333335,2696.6666666666665,3
7,2956.6666666666665,3050.0,2
8,3276.6666666666665,3423.3333333333335,1
9,3733.3333333333335,3833.3333333333335,4
10,4060.0,4193.333333333333,3
11,4390.0,4600.0,2
12,5036.666666666667,5136.666666666667,1
13,5343.333333333333,5466.666666666667,4
14,5700.0,5856.666666666667,3
15,6066.666666666667,6216.666666666667,2
16,6393.333333333333,6673.333333333333,1
17,7016.666666666667,7310.0,4
18,7693.333333333333,7853.333333333333,3
19,8330.0,8470.0,2
20,8880.0,9026.666666666666,1
21,9243.333333333334,9420.0,4
22,9783.333333333334,9936.666666666666,3
23,10290.0,10416.666666666666,2
24,10660.0,11016.666666666666,1
25,11406.666666666666,11593.333333333334,4
26,11936.666666666666,12083.333333333334,3
27,12273.333333333334,12470.0,2
28,12813.333333333334,13040.0,1
29,13266.666666666666,13486.666666666666,4
30,13906.666666666666,14073.333333333334,3
31,14386.666666666666,14503.333333333334,2
32,14736.666666666666,14850.0,1
33,15203.333333333334,15310.0,4
34,15706.666666666666,15876.666666666666,3
35,16230.0,16356.666666666666,2
36,16696.666666666668,16820.0,1
37,16983.333333333332,17086.666666666668,4
38,17260.0,17383.333333333332,3
39,17560.0,17666.666666666668,2
