,Start,End,Ignored
0,796.6666666666666,930.0,2
1,1650.0,1760.0,3
2,2500.0,2570.0,4
3,3250.0,3333.3333333333335,1
4,3896.6666666666665,3966.6666666666665,2
5,4513.333333333333,4650.0,3
6,5420.0,5496.666666666667,4
7,6430.0,6570.0,1
8,7303.333333333333,7403.333333333333,2
9,8246.666666666666,8373.333333333334,3
10,9063.333333333334,9206.666666666666,4
11,9866.666666666666,10023.333333333334,1
12,10923.333333333334,11020.0,2
13,11793.333333333334,11936.666666666666,3
14,12700.0,12833.333333333334,4
15,13840.0,13953.333333333334,1
16,14970.0,15036.666666666666,2
17,15803.333333333334,15890.0,3
18,16653.333333333332,16736.666666666668,4
19,17703.333333333332,17786.666666666668,1
20,18523.333333333332,18586.666666666668,2
21,19176.666666666668,19273.333333333332,3
22,19993.333333333332,20100.0,4
23,20910.0,20993.333333333332,1
24,21780.0,21880.0,2
25,22953.333333333332,23013.333333333332,3
26,23530.0,23666.666666666668,4
27,24326.666666666668,24393.333333333332,1
