,Start,End,Ignored
0,1110.0,1213.3333333333333,1
1,2266.6666666666665,2353.3333333333335,2
2,3503.3333333333335,3600.0,3
3,4763.333333333333,4850.0,4
4,6183.333333333333,6263.333333333333,1
5,7350.0,7423.333333333333,2
6,8393.333333333334,8486.666666666666,3
7,9853.333333333334,9963.333333333334,4
8,11160.0,11273.333333333334,1
9,12476.666666666666,12560.0,2
10,13690.0,13810.0,3
11,14813.333333333334,14900.0,4
12,16326.666666666666,16450.0,1
13,17736.666666666668,17833.333333333332,2
14,19090.0,19200.0,3
15,20753.333333333332,20896.666666666668,4
16,22253.333333333332,22346.666666666668,1
17,23603.333333333332,23696.666666666668,2
18,25113.333333333332,25233.333333333332,3
19,26680.0,26813.333333333332,4
20,28100.0,28223.333333333332,1
21,29843.333333333332,29943.333333333332,2
22,31483.333333333332,31600.0,3
23,32480.0,32586.666666666668,4
24,34036.666666666664,34170.0,1
25,35466.666666666664,35570.0,2
26,36840.0,36950.0,3
27,38733.333333333336,38840.0,4
28,40166.666666666664,40290.0,1
29,41376.666666666664,41470.0,2
30,42646.666666666664,42766.666666666664,3
31,44186.666666666664,44330.0,4
32,45510.0,45596.666666666664,1
33,46723.333333333336,46820.0,2
34,47940.0,48066.666666666664,3
35,49220.0,49353.333333333336,4
36,50620.0,50756.666666666664,1
37,51966.666666666664,52070.0,2
38,53376.666666666664,53510.0,3
39,54776.666666666664,54890.0,4
