,Start,End,Ignored
0,1073.3333333333333,1173.3333333333333,1
1,1406.6666666666667,1546.6666666666667,2
2,1740.0,1933.3333333333333,3
3,2300.0,2373.3333333333335,4
4,2570.0,2646.6666666666665,1
5,2900.0,2986.6666666666665,2
6,3186.6666666666665,3266.6666666666665,3
7,3486.6666666666665,3556.6666666666665,4
8,3860.0,3950.0,1
9,4356.666666666667,4623.333333333333,2
10,5390.0,5473.333333333333,3
11,5956.666666666667,6123.333333333333,4
12,6680.0,6790.0,1
13,7180.0,7323.333333333333,2
14,7950.0,8066.666666666667,3
15,8566.666666666666,8653.333333333334,4
16,9066.666666666666,9153.333333333334,1
17,9793.333333333334,9870.0,2
18,10303.333333333334,10456.666666666666,3
19,10800.0,10920.0,4
20,11493.333333333334,11580.0,1
21,11936.666666666666,12183.333333333334,2
22,12566.666666666666,12736.666666666666,3
23,12966.666666666666,13096.666666666666,4
24,13616.666666666666,13736.666666666666,1
25,14350.0,14436.666666666666,2
26,14860.0,14963.333333333334,3
27,15633.333333333334,15733.333333333334,4
28,16130.0,16306.666666666666,1
29,16750.0,16940.0,2
30,17343.333333333332,17466.666666666668,3
31,18293.333333333332,18396.666666666668,4
32,19083.333333333332,19196.666666666668,1
33,19516.666666666668,19653.333333333332,2
34,19900.0,20116.666666666668,3
35,20633.333333333332,20733.333333333332,4
36,21283.333333333332,21356.666666666668,1
37,21883.333333333332,22053.333333333332,2
38,22333.333333333332,22516.666666666668,3
39,22800.0,22913.333333333332,4
