,Start,End,Ignored
0,883.3333333333334,990.0,1
1,1376.6666666666667,1503.3333333333333,2
2,1936.6666666666667,2090.0,3
3,2560.0,2673.3333333333335,4
4,3040.0,3190.0,1
5,3473.3333333333335,3603.3333333333335,2
6,3980.0,4133.333333333333,3
7,4450.0,4600.0,4
8,4946.666666666667,5086.666666666667,1
9,5436.666666666667,5610.0,2
10,6120.0,6226.666666666667,3
11,6690.0,6750.0,4
12,7433.333333333333,7513.333333333333,1
13,8000.0,8076.666666666667,2
14,8393.333333333334,8546.666666666666,3
15,9070.0,9203.333333333334,4
16,9543.333333333334,9776.666666666666,1
17,9993.333333333334,10213.333333333334,2
18,10516.666666666666,10713.333333333334,3
19,10993.333333333334,11170.0,4
20,11560.0,11686.666666666666,1
21,11970.0,12310.0,2
22,12623.333333333334,12720.0,3
23,13046.666666666666,13350.0,4
24,13646.666666666666,14123.333333333334,1
25,14586.666666666666,14723.333333333334,2
26,15070.0,15193.333333333334,3
27,15540.0,15706.666666666666,4
