,Start,End,Ignored
0,1143.3333333333333,1233.3333333333333,1
1,1803.3333333333333,1923.3333333333333,2
2,2750.0,2850.0,3
3,3716.6666666666665,3863.3333333333335,4
4,4593.333333333333,4700.0,1
5,5406.666666666667,5520.0,2
6,6360.0,6470.0,3
7,7330.0,7470.0,4
8,8310.0,8410.0,1
9,9316.666666666666,9426.666666666666,2
10,10433.333333333334,10523.333333333334,3
11,11293.333333333334,11416.666666666666,4
12,12166.666666666666,12273.333333333334,1
13,13193.333333333334,13283.333333333334,2
14,14473.333333333334,14573.333333333334,3
15,15423.333333333334,15573.333333333334,4
16,16453.333333333332,16550.0,1
17,17403.333333333332,17526.666666666668,2
18,18666.666666666668,18770.0,3
19,19833.333333333332,19933.333333333332,4
20,21230.0,21346.666666666668,1
21,22236.666666666668,22353.333333333332,2
22,23490.0,23563.333333333332,3
23,24553.333333333332,24693.333333333332,4
24,25823.333333333332,25953.333333333332,1
25,27060.0,27186.666666666668,2
26,28156.666666666668,28250.0,3
27,29376.666666666668,29476.666666666668,4
28,31030.0,31163.333333333332,1
29,32246.666666666668,32593.333333333332,2
30,33940.0,34043.333333333336,3
31,35233.333333333336,35380.0,4
32,36400.0,36533.333333333336,1
33,37830.0,37926.666666666664,2
34,39290.0,39413.333333333336,3
35,40513.333333333336,40626.666666666664,4
36,41683.333333333336,41826.666666666664,1
37,43030.0,43160.0,2
38,44080.0,44200.0,3
39,45226.666666666664,45463.333333333336,4
