,Start,End,Ignored
0,943.3333333333334,1023.3333333333334,4
1,1350.0,1466.6666666666667,3
2,1843.3333333333333,1953.3333333333333,2
3,2216.6666666666665,2320.0,1
4,2770.0,2956.6666666666665,4
5,3250.0,3360.0,3
6,3843.3333333333335,3930.0,2
7,4313.333333333333,4506.666666666667,1
8,4836.666666666667,4970.0,4
9,5376.666666666667,5540.0,3
10,5833.333333333333,5940.0,2
11,6250.0,6490.0,1
12,6936.666666666667,7090.0,4
13,7383.333333333333,7636.666666666667,3
14,8086.666666666667,8256.666666666666,2
15,8556.666666666666,8710.0,1
16,9210.0,9443.333333333334,4
17,9666.666666666666,9783.333333333334,3
18,10073.333333333334,10190.0,2
19,10790.0,10863.333333333334,1
20,11436.666666666666,11533.333333333334,4
21,11933.333333333334,12046.666666666666,3
22,12463.333333333334,12596.666666666666,2
23,13116.666666666666,13203.333333333334,1
24,13700.0,13790.0,4
25,14230.0,14326.666666666666,3
26,14860.0,14953.333333333334,2
27,15403.333333333334,15543.333333333334,1
28,16146.666666666666,16233.333333333334,4
29,16623.333333333332,16733.333333333332,3
30,17136.666666666668,17246.666666666668,2
31,17606.666666666668,17700.0,1
32,18116.666666666668,18223.333333333332,4
33,18593.333333333332,18696.666666666668,3
34,18963.333333333332,19240.0,2
35,19560.0,19696.666666666668,1
36,20266.666666666668,20356.666666666668,4
37,20730.0,20873.333333333332,3
38,21213.333333333332,21386.666666666668,2
39,21766.666666666668,21843.333333333332,1
