,Start,End,Ignored
0,1063.3333333333333,1156.6666666666667,1
1,1390.0,1523.3333333333333,2
2,1776.6666666666667,1866.6666666666667,3
3,2170.0,2270.0,4
4,2636.6666666666665,2736.6666666666665,1
5,3003.3333333333335,3113.3333333333335,2
6,3470.0,3550.0,3
7,4083.3333333333335,4210.0,4
8,4610.0,4746.666666666667,1
9,5046.666666666667,5180.0,2
10,5546.666666666667,5666.666666666667,3
11,5990.0,6130.0,4
12,6496.666666666667,6650.0,1
13,6923.333333333333,7056.666666666667,2
14,7386.666666666667,7520.0,3
15,8010.0,8140.0,4
16,8523.333333333334,8623.333333333334,1
17,8923.333333333334,9100.0,2
18,9533.333333333334,9620.0,3
19,9986.666666666666,10103.333333333334,4
20,10470.0,10573.333333333334,1
21,10946.666666666666,11050.0,2
22,11350.0,11486.666666666666,3
23,11733.333333333334,11876.666666666666,4
24,12230.0,12333.333333333334,1
25,12706.666666666666,12800.0,2
26,13166.666666666666,13273.333333333334,3
27,13540.0,13650.0,4
28,13886.666666666666,14070.0,1
29,14473.333333333334,14626.666666666666,2
30,15066.666666666666,15186.666666666666,3
31,15500.0,15673.333333333334,4
32,15986.666666666666,16086.666666666666,1
33,16336.666666666666,16450.0,2
34,16703.333333333332,16776.666666666668,3
35,17076.666666666668,17173.333333333332,4
36,17413.333333333332,17520.0,1
37,17943.333333333332,18020.0,2
38,18253.333333333332,18356.666666666668,3
39,18623.333333333332,18693.333333333332,4
