,Start,End,Ignored
0,873.3333333333334,986.6666666666666,1
1,1330.0,1450.0,2
2,1823.3333333333333,1943.3333333333333,3
3,2243.3333333333335,2386.6666666666665,4
4,2713.3333333333335,2840.0,1
5,3213.3333333333335,3336.6666666666665,2
6,3710.0,3800.0,3
7,4193.333333333333,4293.333333333333,4
8,4620.0,4733.333333333333,1
9,5100.0,5226.666666666667,2
10,5610.0,5720.0,3
11,6093.333333333333,6220.0,4
12,6643.333333333333,6773.333333333333,1
13,7153.333333333333,7276.666666666667,2
14,7796.666666666667,7883.333333333333,3
15,8263.333333333334,8363.333333333334,4
16,8810.0,8920.0,1
17,9260.0,9383.333333333334,2
18,9793.333333333334,9890.0,3
19,10423.333333333334,10520.0,4
20,10896.666666666666,11020.0,1
21,11343.333333333334,11440.0,2
22,11840.0,11943.333333333334,3
23,12460.0,12550.0,4
24,12876.666666666666,12983.333333333334,1
25,13396.666666666666,13496.666666666666,2
26,13946.666666666666,14040.0,3
27,14476.666666666666,14583.333333333334,4
28,14953.333333333334,15060.0,1
29,15506.666666666666,15603.333333333334,2
30,16046.666666666666,16143.333333333334,3
31,16636.666666666668,16736.666666666668,4
32,17220.0,17316.666666666668,1
33,17720.0,17813.333333333332,2
34,18270.0,18396.666666666668,3
35,18763.333333333332,18883.333333333332,4
36,19266.666666666668,19383.333333333332,1
37,19793.333333333332,19926.666666666668,2
38,20330.0,20526.666666666668,3
39,20920.0,21053.333333333332,4
